as_of_date,release_revision,revision_fingerprint,source_list,source_reported_registry_status,coverage_class,record_count
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Exempt - Dissolved","unkeyed",2474
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Exempt - Withdrawn","keyed",7
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Exempt - Withdrawn","unkeyed",9
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Never Registered - Diss. Waiver Issued","keyed",15
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Never Registered - Diss. Waiver Issued","unkeyed",2413
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Never Registered - Dissolution Pending","keyed",607
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Never Registered - Dissolution Pending","unkeyed",488
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Never Registered - Dissolved","keyed",6601
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Never Registered - Dissolved","unkeyed",41744
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Never Registered - Withdrawn","unkeyed",474
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Trust Closed","keyed",245
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Trust Closed","unkeyed",1
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Withdrawn","keyed",1822
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-not-operating","Withdrawn","unkeyed",2113
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-undetermined-status","Enforcement Action Pending","keyed",22
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-undetermined-status","Enforcement Action Pending","unkeyed",1
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-undetermined-status","Not Registered","keyed",9
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-undetermined-status","Not Registered","unkeyed",127915
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Delinquent","keyed",12989
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Delinquent - Late Fees Due","keyed",82
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Mutual Benefit","keyed",123
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-may-not-operate","Mutual Benefit","unkeyed",65766
